,ID,Label,Statement,Subject,Speaker,Speaker Job,State,Party Aff,Credit,True,Half true,Mostly true,Pants on fire,Context
5182,8572.json,true,Says theres no language in the U.S. Constitution that prevents someone from running for Congress simultaneously in multiple states.,elections,allan-levene,,Georgia,republican,0.0,0.0,0.0,0.0,0.0,an article
9350,7207.json,true,"Connecticut has the fifth toughest gun control laws in the country, including an assault weapons ban that bans 35 different weapons.",guns,jack-kingston,U.S. Representative,Georgia,republican,3.0,1.0,4.0,3.0,0.0,
4230,6952.json,false,"As a Member of Congress, Chris Murphy was raking in $1 million in salary.",candidates-biography,linda-mcmahon,Candidate for U.S. Senate,Connecticut,republican,0.0,1.0,0.0,0.0,0.0,a campaign ad
5626,7492.json,true,"In 32 other states and Washington D.C., they [voters] can avoid the wait by voting before Election Day.","elections,public-service",christopher-blazejewski,Rhode Island State Representative,Rhode Island,democrat,0.0,1.0,0.0,0.0,0.0,a news release
5160,6899.json,half-true,The Obama administration called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.,foreign-policy,paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,"the vice presidential debate in Danville, Ky."
7719,5446.json,half-true,"Since President Obama took full control of Washington, every day, 13,000 more people have been put on food stamps.","economy,message-machine-2012,poverty",national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,an advertisement
7854,8522.json,mostly-true,The University of Texas is starting the first medical school at a major Tier One university in the last 50 years.,"education,health-care,public-health",steve-leslie,Assistant to University of Texas president,Texas,none,0.0,0.0,0.0,1.0,0.0,remarks at an Austin town hall about the Dell Medical School
32,9727.json,false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",shelley-moore-capito,U.S. House of Representative,West Virginia,republican,1.0,1.0,0.0,0.0,0.0,a campaign ad
8964,6793.json,half-true,Says Measures 82 and 83 authorize just one more casino.,"gambling,message-machine-2012",yes-82-and-83-campaign,,,organization,0.0,0.0,1.0,0.0,0.0,a campaign ad
8260,423.json,true,McCain opposes a woman's right to choose.,abortion,moveon,,,democrat,2.0,4.0,3.0,0.0,0.0,an e-mail message
9243,3271.json,barely-true,Road construction bids are coming in at the lowest in the modern era.,"infrastructure,transportation",bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,a speech.
5460,4651.json,mostly-true,About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.,"elections,redistricting",dennis-kucinich,U.S. representative,Ohio,democrat,1.0,3.0,4.0,6.0,0.0,an email to supporters
4280,3643.json,half-true,"Per-student K-12 state funding for Portland Public Schools has dipped from $6,036 in the 2007-2008 school year to $5,644 in the 2010-2011 school year",education,portland-public-schools,School district,Oregon,none,0.0,0.0,1.0,1.0,0.0,a mailer
5892,13274.json,half-true,"Says Marco Rubio opposes immigration reform. Worse, Rubio supports Donald Trump. His plan would deport 800,000 children, destroying families.",immigration,patrick-murphy,,Florida,democrat,2.0,1.0,4.0,5.0,0.0,a TV ad
7566,3198.json,true,Tells President Barack Obama that he also asked former President George W. Bush about how he felt about Americans hating him.,"bush-administration,pundits",bill-oreilly,Fox News Channel host,,none,4.0,6.0,3.0,5.0,1.0,an interview with President Barack Obama
6273,728.json,pants-fire,Obama ad contends that John McCain endorses Rush Limbaugh's comments about immigration.,immigration,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a video ad.
4309,7281.json,true,"Says his elections proposal would allow a potential of 168 hours (of early voting), which I think is the most weve ever had.",elections,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a TV interview
6672,8597.json,true,Macys sent a letter to Rick Perry urging him to veto equal pay bill.,"income,legal-issues,workers",senfronia-thompson,State representative,Texas,democrat,0.0,0.0,0.0,0.0,0.0,email blast from Progress Texas
9036,3327.json,half-true,Says signs posted at projects funded by the federal stimulus act has cost 20 or 40 million dollars.,"deficit,federal-budget,stimulus",jim-renacci,U.S. representative ,Ohio,republican,5.0,3.0,4.0,1.0,1.0,a radio interview 
6719,9991.json,barely-true,A 2011 measure passed into law with Wendy Davis support removes from the attorney general the ability to settle lawsuits just like the school funding case.,"corrections-and-updates,education,market-regulation",greg-abbott,governor,Texas,republican,11.0,3.0,8.0,6.0,5.0,a debate in the Rio Grande Valley.
2172,5146.json,true,My opponent on day one of this campaign attacked me on Medicare and Medicare Advantage and that claim was found to be False.,"medicare,message-machine-2012,campaign-advertising",suzanne-bonamici,State Senator,Oregon,democrat,0.0,3.0,0.0,0.0,1.0,a debate
3619,11192.json,barely-true,There is debate among constitutional scholars about whether the First Amendment will continue to protect faith leaders from being forced to perform marriages against their religious beliefs.,"gays-and-lesbians,legal-issues,marriage,religion,supreme-court",david-ralston,,Georgia,republican,1.0,1.0,0.0,1.0,0.0,an interview
4158,6283.json,pants-fire,Says raising the state income tax rate on millionaires to offset property taxes for other residents is not a tax increase. Its a tax shift.,taxes,lou-greenwald,State Assemblyman,New Jersey,democrat,0.0,1.0,1.0,2.0,2.0,an interview on 6abc’s “Inside Story”
4636,7519.json,half-true,There are 3 million jobs available in America that are not filled because too many of our people dont have the skills for those jobs.,"economy,jobs",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a speech at the conservative CPAC conference
98,7258.json,true,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",guns,mark-shields,Columnist and commentator,"Washington, D.C.",none,1.0,0.0,0.0,0.0,0.0,the PBS NewsHour
4139,9120.json,barely-true,"Premeditation, in murder cases like the Oscar Pistorius case, can be formed in the twinkling of an eye.","crime,criminal-justice,legal-issues",nancy-grace,,,none,2.0,0.0,0.0,0.0,0.0,"an interview on ABC's ""Good Morning America"""
5835,13149.json,barely-true,"Says no, youre wrong, responding to the assertion that stop-and-frisk was ruled unconstitutional in New York.","crime,criminal-justice,supreme-court",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"the presidential debate in Hempstead, N.Y."
1171,12771.json,mostly-true,The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.,"economy,income,taxes,wealth",bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,remarks at the Democratic National Convention in Philadelphia
9813,9477.json,barely-true,The Senate proposal to restore emergency unemployment benefits for five months was fully paid for.,"congress,congressional-rules,debt,deficit,economy,federal-budget,income,jobs,labor,taxes,workers",jack-reed,U.S. Senator,Rhode Island,democrat,1.0,0.0,2.0,1.0,0.0,Senate floor speeches and during a news conference
1733,2068.json,true,"Sometime in the next decade, there will be more Latinos in the state of Texas than there are Anglos. That will happen sometime in the next five to eight to ten years.","census,immigration",john-king,An anchor for CNN,,none,0.0,0.0,0.0,1.0,0.0,a question to San Antonio Mayor Julian Castro
5875,7500.json,pants-fire,Says Kurt Schrader supports Obamas sequester but wont cut $1.6 million to fund new video games.,federal-budget,national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,an online ad
2007,1062.json,false,"Yes, this would be the same congressman (Rep. Pete Hoekstra) who last year Tweeted the whereabouts of a top-secret mission to Iraq.","military,pundits",keith-olbermann,Political commentator,,none,0.0,2.0,3.0,2.0,0.0,"his MSNBC ""Countdown"" program"
1632,9915.json,mostly-true,Children who witness domestic violence are twice as likely to commit it themselves.,"crime,criminal-justice,women",amy-klobuchar,U.S. senator,Minnesota,democrat,0.0,0.0,0.0,2.0,0.0,"comments on CNN's ""State of the Union"""
5799,613.json,mostly-true,"Spending increases, not tax cuts, are the major cause of the federal budget deficit.",federal-budget,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,an interview on CNN's <i> Larry King Live </i>
6674,4089.json,barely-true,"Because of Democratic tax hikes, New Jersey ended a decade with fewer private sector jobs for the first time in recorded history.","jobs,taxes",steve-oroho,State Senator,New Jersey,republican,1.0,0.0,0.0,1.0,0.0,a press release from Sen. Steve Oroho (R-Sussex)
1732,9832.json,half-true,Cory Gardner is sponsoring a bill to ban all abortions right now.,"abortion,message-machine-2014,women",democratic-senatorial-campaign-committee,,,democrat,1.0,2.0,3.0,1.0,0.0,a campaign ad
4479,10023.json,barely-true,Says Michelle Nunn is for amnesty.,"homeland-security,immigration",david-perdue,U.S. Senate candidate,Georgia,republican,5.0,1.0,4.0,5.0,1.0,an ad
1473,4482.json,pants-fire,"Says Rick Perry is spending more money than the state takes in, covering his deficits with record borrowing.","deficit,state-budget",keep-conservatives-united,Super-PAC,North Carolina,republican,1.0,0.0,0.0,0.0,1.0,an online video ad.
6460,12180.json,false,Millionaires working side by side with George Soros are bankrolling (John Kasichs) super PAC.,campaign-finance,trusted-leadership-pac,,,republican,0.0,1.0,0.0,0.0,0.0,a Trusted Leadership PAC ad 
660,239.json,true,"It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education.",education,ron-paul,U.S. representative,Texas,republican,5.0,8.0,8.0,8.0,3.0,"a debate in Johnston, Iowa"
1967,12723.json,false,Says Hillary Clinton is proposing destroying Medicare for seniors.,"health-care,medicare",donald-trump-jr,,,republican,0.0,1.0,0.0,0.0,1.0,a speech at the Republican National Convention in Cleveland
9156,2150.json,pants-fire,Nobodys invited us to the Obama events in Atlanta.,elections,chris-carpenter,Campaign Manager for Roy Barnes,Georgia,democrat,0.0,0.0,0.0,0.0,1.0,radio news story
2666,2416.json,pants-fire,Ive been outspent by my opponents every time Ive run for U.S. Senate.,campaign-finance,russ-feingold,,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,a TV interview and multiple other sources
1937,4149.json,pants-fire,Says Wisconsin Senate recall candidate Jessica King voted to increase her pay with taxpayer dollars by 63 percent.,"city-budget,income,voting-record",randy-hopper,"State Senator, District 18",Wisconsin,republican,0.0,0.0,0.0,0.0,1.0,a TV ad
3852,11137.json,true,"Since Volvo spurned Georgia for South Carolina in early May, some 3,455 jobs promising more than $800 million in investments have come to the Peach State.","jobs,states",chris-riley,"Chief of Staff, Gov. Nathan Deal",Georgia,republican,0.0,0.0,0.0,0.0,0.0,an Atlanta Journal-Constitution blog post
6429,4637.json,half-true,New Jerseys poverty rate has increased since this governor took office and the number of New Jerseyans without health insurance has risen.,"health-care,poverty",stephen-sweeney,State Senator,,democrat,1.0,2.0,3.0,1.0,0.0,a message on Facebook
2557,9300.json,half-true,"If you work 40 hours a week at the proposed minimum wage of $10.10 an hour, you get out of poverty.","children,economy,families,jobs,poverty",charles-schumer,Senator,New York,democrat,2.0,2.0,2.0,3.0,0.0,an interview on MSNBC
2022,11683.json,barely-true,The only budget Ted Cruz ever voted for in his time in the Senate is a budget that cut defense spending by more than Barack Obama proposes we cut it.,"federal-budget,military",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,an interview on Meet the Press
7096,3056.json,mostly-true,A record number of Hispanics were elected to the U.S House of Representatives...,"diversity,elections",jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,an opinion article in the 'Miami Herald'
9551,10378.json,true,A private company building a natural gas pipeline into Florida is being forced to spend months under the review of six federal agencies.,"energy,government-regulation",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,his book ‘American Dreams’
2157,6640.json,half-true,Mitt Romney said we should let foreclosures hit the bottom.,housing,kamala-harris,Attorney General,California,democrat,0.0,0.0,2.0,2.0,0.0,a convention speech
2695,5000.json,pants-fire,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,"agriculture,candidates-biography",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"Fox News Republican presidential debate in Sioux City, Iowa"
5440,12620.json,half-true,Cincinnati is already one of the biggest cities in the country to run 100 percent on clean energy.,energy,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a rally in Cincinnati, Ohio"
9863,2333.json,barely-true,Ron Johnson is willing to hand over the Great Lakes to the oil companies.,"energy,environment,message-machine",russ-feingold,,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,a campaign ad
7362,5002.json,true,Says there have been no cases of wolves killing people in Rocky Mountain states.,environment,oregon-department-fish-and-wildlife,,,none,0.0,0.0,0.0,0.0,0.0,a news story
4409,79.json,half-true,21-million Americans could have a four-year college scholarship for the money we've squandered in Iraq. 7.6-million teachers could have been hired last year if we weren't squandering this money.,iraq,mike-gravel,Author and lecturer,Alaska,libertarian,1.0,0.0,1.0,0.0,1.0,"Washington, DC."
4293,1794.json,pants-fire,Louisiana Sen. Mary Landrieu received almost $1.8 million from BP over the last decade.,"campaign-finance,energy,oil-spill,pundits",ed-schultz,MSNBC television host,,none,3.0,1.0,4.0,1.0,2.0,a broadcast of the Ed Show
2651,3802.json,mostly-true,Says the Obama Administration has fulfilled all of Texas requests for fire management assisting grants.,natural-disasters,jay-carney,White House press secretary,District of Columbia,none,2.0,2.0,1.0,2.0,0.0,a press gaggle
2406,8829.json,true,"The extra point is almost automatic. (The NFL) had five missed extra points this year out of 1,200 some odd attempts.",sports,roger-goodell,NFL commissioner,,none,0.0,0.0,0.0,1.0,0.0,an interview on NFL.com
9000,4514.json,mostly-true,"Says that illegal immigrants get a $100,000 break on University of Texas tuition over four years.","education,state-budget,state-finances",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a Republican presidential debate in Orlando.
9313,236.json,barely-true,I can't sign money. That's illegal.,legal-issues,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a comment to a shopper at a supermarket in Des Moines, Iowa."
4191,1942.json,mostly-true,The Tampa Bay Rays prices have been judged the most affordable in all of professional sports.,"baseball,economy,florida",stuart-sternberg,Tampa Bay Rays owner,Florida,none,0.0,0.0,0.0,1.0,0.0,a press statement
1094,13217.json,false,"Says he has a fiduciary responsibility to his business, his family and his employees to pay no more tax than legally required.","candidates-biography,financial-regulation,taxes",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a statement from the campaign
5086,6620.json,false,"When Social Security, Medicare and Medicaid were created, Republicans stood on the sidelines","health-care,history,medicaid,medicare",james-clyburn,U.S. Representative,South Carolina,democrat,1.0,1.0,0.0,1.0,0.0,"a speech at the Democratic National Convention in Charlotte, N.C."
9447,9888.json,false,There were fewer civilian casualties in Cambodia than there have been from American drone attacks.,foreign-policy,henry-kissinger,,,republican,0.0,1.0,0.0,0.0,0.0,an interview on NPR
1859,8851.json,false,"Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics.","job-accomplishments,jobs",brett-hulsey,,,democrat,1.0,3.0,0.0,0.0,0.0,a radio interview
4646,12116.json,mostly-true,"Over the last 30 years, extreme poverty has been cut in half.","foreign-policy,poverty",gayle-smith,,,democrat,0.0,0.0,1.0,2.0,0.0,a speech on Capitol Hill
1208,8499.json,mostly-true,Health insurance is more expensive in Massachusetts than anywhere else in the country.,"health-care,states",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"comments on NBC's ""Meet the Press"""
9315,5291.json,mostly-true,United States of America is twenty-sixth in school performance in the world.,education,jim-whelan,,,democrat,0.0,0.0,2.0,1.0,0.0,a speech on the state Senate floor
2071,4592.json,barely-true,"Our unemployment rate has been higher than 8 percent for more than two-and-a-half years, far above what the Obama Administration promised with the stimulus.","economy,jobs,stimulus",john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,a news release
2954,11754.json,false,"California Senator, Democratic Senator Dianne Feinstein said if she could say to Mr. America and Mrs. America, Give me your guns, Im rounding em up, she would.",guns,ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a TV interview
6127,10705.json,half-true,Debt doubled under Bush and now its tripling under Barack Obamas watch.,debt,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7.0,8.0,10.0,12.0,3.0,a speech announcing his presidential campaign
6455,6047.json,false,Homosexual behavior cuts your lifeby about 20 years.,"gays-and-lesbians,health-care,sexuality",bob-marshall,State delegate,Virginia,republican,0.0,2.0,0.0,0.0,1.0,an interview.
6816,1699.json,half-true,The passage of the teacher tenure bill in the Fla. Legislature was like the health care bill in Congress because one party jammed it through.,"education,health-care",charlie-crist,,Florida,democrat,15.0,9.0,20.0,19.0,2.0,in a press conference announcing veto of SB 6.
5801,9794.json,true,"Says Keene, N.H., requested a military-grade armored personnel truck, citing their annual Pumpkin Festival as a possible target for terrorists.","homeland-security,public-safety",john-oliver,"Host, Last Week Tonight",,none,0.0,0.0,2.0,4.0,0.0,"a segment on his show, Last Week Tonight"
2257,8555.json,barely-true,"Under President (George W.) Bush, prosecution of gun crimes was 30 percent higher than it is under President Obama.","bush-administration,crime,guns",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,"in an interview on the ""Tonight Show"""
3959,7326.json,mostly-true,"Says on the state level, we spend less today than Jon Corzine spent in fiscal year 2008, five years later.","state-budget,state-finances",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a radio interview on New Jersey 101.5’s “Ask the Governor”
10096,2041.json,true,"Attorney General McCollum, Speaker-Designate Cannon, Senate President-Designate Haridopolos and I stood up to Governor Crist and worked to remove Jim Greer as Chairman because of his mismanagement of the party.",legal-issues,john-thrasher,Republican Party of Florida Chairman,Florida,republican,2.0,1.0,0.0,0.0,1.0,a press release sent by the Republican Party of Florida
7042,1298.json,mostly-true,"The GOP health care plan ""would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition.""",health-care,debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7.0,9.0,8.0,15.0,3.0,a press release
8014,6367.json,true,"The judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. Meanwhile, judges get some of the richest pensions of all public employees.",pensions,shirley-turner,State senator ,New Jersey,democrat,1.0,0.0,0.0,0.0,0.0,a speech on the State Senate floor
543,7942.json,pants-fire,"Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.","economy,jobs",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a TV interview
6155,765.json,barely-true,"Barack Obama's health care plan is ""to mandate health care coverage and have a universal government-run program.""",health-care,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,St. Louis
6787,10966.json,mostly-true,Says U.S. Senate opponent Ron Johnson is opposed to all government-assisted student loans.,"debt,education,federal-budget,financial-regulation",russ-feingold,,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,a speech
5745,2672.json,barely-true,Says Gov. Jim Doyle and the DNR have not put hunters first and mismanaged the deer herd; as a result the deer population has dwindled.,"environment,recreation",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a campaign news release and platform document
5119,6509.json,barely-true,Tim Kaine supported higher energy costs for families.,"cap-and-trade,climate-change,energy,message-machine-2012",us-chamber-commerce,,,none,6.0,3.0,3.0,1.0,1.0,a TV ad.
1674,1613.json,barely-true,"Florida's legal challenge of the federal health care bill is ""bipartisan.""",health-care,bill-mccollum,,Florida,republican,2.0,1.0,2.0,0.0,1.0,a press release.
672,2879.json,half-true,"Low-flow toilets can cost homeowners up to $1,000 each.",environment,elaine-boyer,,,republican,0.0,0.0,1.0,1.0,0.0,a newspaper op-ed
657,346.json,mostly-true,"8 years of the Clintons, major losses for Democrats across the nation.",elections,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a flyer sent prior to Super Tuesday
8877,983.json,false,There are no similar clips of Newt Gingrich talking about how ineffective President Bush was in trying to control North Korea.,"foreign-policy,pundits",lawrence-odonnell,,,none,2.0,2.0,0.0,3.0,0.0,an appearance on MSNBC.
1110,6334.json,half-true,Says India gained jobs thanks to Romney.,"candidates-biography,economy,message-machine-2012",priorities-usa-action,,,democrat,3.0,1.0,4.0,2.0,1.0,a Web ad
8212,9664.json,mostly-true,"(Mary) Burkes company, Trek Bicycles, makes 99% of their bikes overseas.","labor,workers",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a campaign TV ad
