,title,text,subject,date
3703,Trump administration starts countdown to NAFTA talks in mid-August,"WASHINGTON (Reuters) - The Trump administration on Thursday set the clock ticking toward a mid-August start of renegotiations of the North American Free Trade Agreement with Canada and Mexico to try to win better terms for U.S. workers and manufacturers. With a letter to U.S. lawmakers, U.S. Trade Representative Robert Lighthizer said he triggered a 90-day consultation period with Congress, industries and the American public that would allow talks over one of the world’s biggest trading blocs to begin by Aug. 16. Renegotiation of NAFTA was a key campaign promise of U.S. President Donald Trump, who frequently called the 23-year-old trade pact a “disaster” that has drained U.S. factories and well-paid manufacturing jobs to Mexico. Trump has pledged to use the NAFTA talks to shrink goods trade deficits that stood at $63 billion with Mexico and $11 billion with Canada last year, according to U.S. Census Bureau data. Lighthizer told reporters NAFTA has been successful for U.S. agriculture, investment services and the energy sector, but not for manufacturing. He added that he hopes to complete negotiations by the end of 2017. “As a starting point for negotiations, we should build on what has worked in NAFTA and change and improve what has not,” Lighthizer said in a conference call with reporters. “If renegotiations result in a fairer deal for American workers there is value in making the transition to a modernized NAFTA as seamless as possible.” In his letter to congressional leaders, Lighthizer said  NAFTA needs modernization for provisions on digital trade,  intellectual property rights, labor and environmental standards, regulatory practices, rules for state-owned enterprises and food safety standards. The Obama administration attempted to address many of these deficiencies in the 2015 Trans-Pacific Partnership trade deal, which included Canada and Mexico, but Trump pulled out of TPP in one of his first official acts as president.  Canada and Mexico both welcomed the U.S. move to launch a NAFTA revamp. Mexican Foreign Minister Luis Videgaray, speaking at a news conference with Secretary of State Rex Tillerson in Washington, said the trade pact needed updating after nearly 25 years. “The world has changed, we’ve learned a lot and we can make it better,” he said. Canadian Foreign Minister Chrystia Freeland said Canada was “steadfastly committed to free trade in the North American region,” noting that 9 million U.S. jobs depend on trade and investment with Canada. U.S. Chamber of Commerce president Thomas Donohue urged U.S. officials to “do no harm” to businesses that depend on trade with Canada and Mexico and to move quickly on a new trilateral deal. As the administration took its first formal step toward NAFTA renegotiations, the U.S. Commerce Department launched an investigation on Thursday into Boeing Co’s (BA.N) anti-dumping claims against Canadian rival Bombardier’s (BBDb.TO) new CSeries jetliners, drawing a threat from Canada to review a deal to buy Boeing fighter jets. Lighthizer's letter (here%20Notification.pdf) is less detailed than a draft sent to lawmakers in March, which listed as objectives tax equality and the ability to reimpose tariffs if Mexican and Canadian imports pose a serious injury threat to U.S. industry. Trump late in April had considered a full withdrawal from NAFTA, but was persuaded by senior officials in his administration to pursue negotiations instead. Lighthizer said he did not think a new threat to withdraw from NAFTA would be necessary. “As the president has said, we are going to give renegotiation a good strong shot,” Lighthizer told reporters, adding that he believed Canada and Mexico would negotiate in good faith. He said he hoped to maintain the current trilateral format of NAFTA, but noted that many of NAFTA’s problems are bilateral issues that need to be worked out with either Mexico or Canada. “Our hope is that we can end up with the structure similar to what we have now. If that should prove to be impossible, then we’ll move in a different direction.” Asked if the NAFTA talks would seek to resolve trade disputes over imports of Canadian softwood lumber or Mexican sugar, Lighthizer said he hoped those issues would be settled before the NAFTA talks begin under separate negotiations being conducted by the U.S. Commerce Department. A Canadian source close to the lumber negotiations said it was unlikely an agreement could be reached by mid-August, however. Lighthizer said he will seek public comment on the NAFTA process and intends to publish negotiating objectives on or about July 16. ",politicsNews,"May 18, 2017 "
12285,Austria's Kurz says pro-EU stance secured in deal with far right,"VIENNA (Reuters) - Coalition talks between Austria s far-right Freedom Party and conservatives led by Sebastian Kurz are drawing to a close and have laid down guarantees that the next government will be pro-European, Kurz said on Thursday. Kurz, who is just 31, led the People s Party (OVP) to victory in a parliamentary election on Oct. 15, taking a hard line on immigration that often overlapped with that of the anti-Islam Freedom Party (FPO), which came third . People familiar with their coalition talks, which began on Oct. 25, said a deal might be reached as early as Friday evening and is likely to be struck over the weekend. That would end more than a decade in opposition for the FPO, which was led by the late Joerg Haider when it last entered government in 2000. The FPO has backed away from calling for Austria to follow Britain by holding an  Oexit  referendum on leaving the European Union. It now says it is pro-European but critical of the bloc and wants to prevent further political integration.  It was important to the president, and to me, that the new government have a pro-European orientation. From my point of view, that has been secured,  Kurz told reporters after meeting President Alexander Van der Bellen, adding that he was confident of a deal before Christmas. Kurz did not say what those points were, but the talks are well advanced, with the parties having produced joint lists of planned policies, from lowering taxes while staying within EU budget rules to providing refugees with a  light  version of regular benefit payments for five years.  While those plans have often been expressed vaguely, Kurz and his party have obtained some specific concessions that would limit the FPO s options if it were to turn against the EU. Points already agreed include moving some Foreign Ministry departments in charge of European affairs to the chancellor s office, which Kurz will head, a person close to the coalition talks said.  Those include the task force in charge of preparing for Austria s EU presidency in the second half of next year and the section in charge of coordinating policy for various EU forums, including that of envoys to Brussels, the person said.  Items still being discussed include making it possible to call referendums by petition. Both sides agree on the principle, but the OVP wants a higher threshold   around 10 percent of voters, while the FPO is pushing for 4 percent.  Under the draft terms of their coalition deal, however,  direct democracy is restricted so that an `Oexit  referendum is not possible , one person familiar with the talks said, which a second confirmed.  The deal will also ensure support for EU sanctions against Russia, one added, to guard against the FPO s pro-Russian stance.  Ministerial appointments have yet to be decided but the Foreign, Defence and Interior Ministries are set to come under the FPO s control, that source said.     ",worldnews,"December 14, 2017 "
4072,Justice Department antitrust nominee Makan Delrahim's hearing delayed,"WASHINGTON (Reuters) - The confirmation testimony expected on Wednesday for Makan Delrahim, who was nominated to head U.S. Justice Department’s Antitrust Division, has been delayed by missing paperwork, Senator Charles Grassley said in a hearing. Delrahim is a member of President Donald Trump’s transition team. “I’m disappointed we couldn’t go forward with Mr. Delrahim’s hearing this morning. We are still waiting on one piece of paperwork, which we understood we’d have by now. And I imagine that will be transmitted to us within another day or two, and we look forward to including him on our next hearing,” Grassley told the Senate Judiciary Committee.  Grassley, an Iowa Republican who chairs the committee, did not say which paperwork was missing. Senator Amy Klobuchar, a Democrat from Minnesota, called the missing document a “snag.” Delrahim was expected to move to the Justice Department after finishing up in the White House counsel’s office, where he  worked to steer Supreme Court Justice Neil Gorsuch through the Senate confirmation process. The Senate must vote to confirm Delrahim. As the proposed chief of the Antitrust Division, Delrahim would review corporate mergers at a time when many investors and corporate executives are anticipating a more relaxed view of deal-making. Former President Barack Obama’s administration faced a large number of megadeals in what one enforcer called a “merger tsunami” and blocked many of them. Before going to work at the White House after Trump’s inauguration in January, Delrahim was a lobbyist with the law firm Brownstein Hyatt Farber Schreck, LLP. One client in 2016 was health insurer Anthem Inc, which this year lost a court fight with the Justice Department over whether it would be allowed to merge with Cigna. Anthem has appealed the loss. ",politicsNews,"April 26, 2017 "
17806,Kenya High Court rules minor candidate should be on ballot for poll re-run,"NAIROBI (Reuters) - The Kenyan election board should include Ekuru Aukot, who polled less than 1 percent in presidential elections in August, on the ballot in the event of a re-run, the High Court ruled on Wednesday.   I find nothing to bar the petitioner from contesting the fresh election,  said Justice John Mativo.  His ruling means President Uhuru Kenyatta may still have a challenger on Oct. 26, when the re-run is scheduled, despite the withdrawal of top opposition candidate on Raila Odinga over allegations of bias. ",worldnews,"October 11, 2017 "
10619,Clinton wins big in South Carolina on way to 'Super Tuesday',"COLUMBIA, S.C. (Reuters) - U.S. Democratic presidential candidate Hillary Clinton crushed rival Bernie Sanders at the South Carolina primary on Saturday, propelling her into next week’s crucial “Super Tuesday” voting in 11 states on a wave of momentum. The rout of Sanders solidified Clinton’s status as the strong front-runner to capture the party’s nomination for the Nov. 8 election in her quest to become America’s first woman president. With nearly half of the votes counted in South Carolina, Clinton led Sanders by a 50-point margin, dramatically reversing her 28-point loss in the state to President Barack Obama during their bitter 2008 primary battle. The former secretary of state’s victory decisively  established her strength among black voters, a crucial Democratic constituency who make up more than half of the party’s primary electorate in South Carolina. After the win, Clinton appeared to be looking ahead to a general-election matchup with Republican front-runner Donald Trump, the billionaire whose campaign slogan is “Make America Great Again” and has called for building a wall on the border with Mexico. “Despite what you hear, we don’t need to make America great again, America has never stopped being great,” she told cheering supporters in Columbia after the win. “Instead of building walls, we need to be tearing down barriers.” The result was Clinton’s third victory in the first four Democratic contests, and raised more questions about whether Sanders, the democratic socialist U.S. senator from Vermont, will be able to expand his support beyond his base of predominantly white liberals. “Today you sent a message,” Clinton said. “In America, when we stand together, there is no barrier too big to break.” Sanders admitted defeat early in the night. “Let me be clear on one thing tonight. This campaign is just beginning. We won a decisive victory in New Hampshire. She won a decisive victory in South Carolina. Now it’s on to Super Tuesday,” Sanders said in a statement.              The Democratic race now becomes a broader national contest. Eleven states, including six in the South with large minority populations where polls show Clinton with big leads, will vote on Super Tuesday and four more over the next weekend. “Tomorrow, this campaign goes national,” Clinton said. Clinton’s camp was hoping a big win in South Carolina, after more narrow victories in Iowa and Nevada and Sanders’ clear win in New Hampshire, will set her up for a big night on Tuesday, when about 875 delegates will be up for grabs, more than one-third of those needed to win the nomination. Sanders, who has energized the party’s liberal wing and brought young people to the polls with his message of attacking income equality and reining in Wall Street, needs a breakthrough win in a key state in the next few weeks to keep his hopes alive. “The door is closing fast for Bernie Sanders,” unaligned Democratic strategist Chris Kofinis said. “Movement candidates are about momentum and excitement, and losses sap that momentum. That’s his problem right now.”      Recognizing his steep odds in South Carolina, Sanders had spent most of the past week in states that will vote in March. As the results rolled in on Saturday, he was scheduled to hold a rally in the “Super Tuesday” state of Minnesota.  (Additional reporting by Alana Wise in Washington; Editing by Alistair Bell) This article was funded in part by SAP. It was independently created by the Reuters editorial staff. SAP had no editorial involvement in its creation or production.",politicsNews,"February 27, 2016 "
4004,Factbox: First 100 days of Trump on Twitter,"(Reuters) - President Donald Trump has cemented his credentials as Tweeter in Chief since taking office.  Nearly 100 days into his presidency, Trump has posted 489 tweets, or about five per day on average, typically between the hours of 6 a.m. to 8 a.m. EDT, according to data compiled by Thomson Reuters.  Trump is the first U.S. president to use his personal Twitter account @realDonaldTrump. Since his account was created in 2009, Trump has sent out 34,800 tweets. One of the most active politicians on Twitter, Trump has previously expressed his love for Twitter.  In Nov 2012, he tweeted:   The tweet got 5,033 retweets and 5,399 likes.  Trump currently has 28.4 million followers. His predecessor Barack Obama, the first U.S. president to ever have a Twitter account, had 13.5 million followers on his official handle @POTUS. He sent out only 342 tweets as president.  The following is a chart comparing how Trump used Twitter as a president-elect and president:  How frequently @realDonaldTrump tweets: As President-elect: 434 total tweets; Average of 6 tweets per day  As President: 489 total tweets; Average of 5 tweets per day  What hour @realDonaldTrump typically tweets: As President-elect: 8 a.m. EDT / 61 tweets  As President: 8 a.m. EDT/ 74 tweets  Hashtags/topics/handles used the most:  As President-elect: Trump tweeted at news handles the most such as@CNN @FoxNews @nytimes, calling out “fake news” stories but used hashtags celebrating his win like #ThankYouTour2016 #AmericaFirst and promoting his inauguration like #InaugurationDay #Inauguration2017 As President: Trump tweeted the most at news handles such as @nytimes @foxandfriends @CNN about “fake news” reporting but topics changed to promoting his policies like #RepealANDReplace #Obamacare  Most tweeted day and why: As President-elect: Jan. 16: 15 tweets promoting free tickets to Trump’s inauguration-related events  As President: Feb 8: 11 tweets regarding Jeff Sessions’ confirmation and unfair treatment towards daughter Ivanka Trump;  Feb. 15: 11 tweets regarding Russian intelligence probe and intelligence agency leaking  How often @realDonaldTrump retweets versus tweets: As President-elect: 413 tweets, 22 retweets. Trump tweets about 19x more than he RTs  As President: 464 tweets, 24 retweets, Trump tweets about 19x more than he RTs  Followers @realDonaldTrump:  As President-elect: 21 million total net followers  As President: 28 million total net followers  Followers @POTUS:  As President-elect: 14 million total net followers  As President: 17 million total net followers  Most retweeted tweet: As President-elect: Nov. 9, 2016   As President: Jan. 22, 2017      NOTE: Data based on Crimson Hexagon, BrandWatch, Thomson Reuters, Zoomph  ",politicsNews,"April 28, 2017 "
14489,"Lebanon's Hariri on Twitter: ""I am on the way to the airport""","CAIRO (Reuters) - Lebanon Prime Minister Saad al-Hariri said late on Friday he is on his way to the airport in Saudi Arabia.  Hariri, who sparked a crisis by resigning as Lebanese prime minister on Nov. 4 during a visit to Saudi Arabia, tweeted,  To say that I am held up in Saudi Arabia and not allowed to leave the country is a lie. I am on the way to the airport...    Earlier a member of his party said Hariri will leave Riyadh for France on Friday, but will not return directly to Beirut after the visit.  Hariri s abrupt resignation while he was in Saudi Arabia and his continued stay there caused fears over Lebanon s stability and thrust it into the bitter rivalry between Riyadh and Iran. ",worldnews,"November 17, 2017 "
13545,Three dead bodies pulled from sea near Spain after migrant boat sinks,"MADRID (Reuters) - Spanish rescue services pulled three drowned men from the Strait of Gibraltar after rescuing one man from a half-sunken, rickety boat and another from the open sea, an emergency services spokeswoman said on Wednesday. The men are believed to be from a boat that was carrying migrants attempting to cross into Europe, the spokeswoman said. One of the rescued men said there were six people aboard originally, she said. The search continues for the sixth person. Conditions in the Strait of Gibraltar - a narrow strip of water that connects the Atlantic Ocean to the Mediterranean Sea - are currently dangerous with bad weather and big waves, she said.  Tens of thousands of migrants attempt the treacherous crossing of the Mediterranean Sea from Africa every year in unseaworthy boats, leading to thousands of deaths by drowning. Migrant drownings have topped 3,000 on Mediterranean Sea routes for the fourth straight year, the International Organization for Migration said on Tuesday. Migrants seeking a better life in Europe have sought new routes through Spain in an effort to get around European Union actions to curb migration in the central and eastern Mediterranean. Almost 10,300 people arrived in Spain by sea in the first seven months of 2017, the IOM said in September, four times as many as in 2016. ",worldnews,"November 29, 2017 "
8884,Trump meets Senator Ernst amid vice presidential speculation,"WASHINGTON (Reuters) - Presumptive Republican presidential nominee Donald Trump met with U.S. Senator Joni Ernst of Iowa on Monday, feeding speculation she could be on the short list for consideration as his vice presidential running mate, Fox News reported. Ernst told the network that she and the New York real estate mogul had a “good conversation.” “I will continue to share my insights with Donald about the need to strengthen our economy, keep our nation safe, and ensure America is always a strong, stabilizing force around the globe,” she said. Trump had tweeted that he would meet Ernst in New Jersey. “She has done a great job as Senator of Iowa!” he said. Trump met with Indiana Governor Mike Pence, also mentioned as a potential running mate, and his wife on Saturday. Republican sources have told Reuters that former House of Representatives Speaker Newt Gingrich and New Jersey Governor Chris Christie top Trump’s vice presidential short list. Other names to watch included U.S. Senators Bob Corker of Tennessee and Jeff Sessions of Alabama and Governor Mary Fallin of Oklahoma, the sources said. ",politicsNews,"July 5, 2016 "
6878,U.S. lawmaker: Sony breach may have inspired Russian election hacking,"WASHINGTON (Reuters) - The U.S. failure to retaliate strongly for the 2014 cyber attack against Sony Pictures may have helped inspire Russian hackers who sought to interfere in the 2016 U.S. election, a senior congressional Democrat said on Tuesday. “Russia may have concluded that they could hack American institutions and there’d be no price to pay,” Representative Adam Schiff, the top Democrat on the House of Representatives Intelligence Committee, told a press breakfast sponsored by the Christian Science Monitor. Schiff suggested that Washington team up with European allies to impose sanctions that would hit the Russian economy. Russia was blamed for high-profile attacks on Democratic organizations that damaged the party during the 2016 election campaign, in which Republican Donald Trump won the presidency and his party kept control of the Senate and the House. Russian President Vladimir Putin dismissed the allegations as U.S. campaign rhetoric. Schiff was one of a group of senior House Democratic lawmakers who wrote to President Barack Obama on Tuesday asking administration officials to brief members of Congress on Russian efforts to influence or interfere in the Nov. 8 U.S. election. “Russia may have succeeded in weakening Americans’ trust” in democratic institutions, said the letter, also signed by Steny Hoyer, the No. 2 House Democrat, and the ranking Democrats on the Judiciary, Foreign Affairs, Homeland Security, Oversight and Armed Services committees.  Other lawmakers, including some Republicans, have asked for investigations or called for legislation to address the hacking issue. Reuters reported on Friday that James Clapper, the U.S. director of national intelligence, asked Congress to remove a provision in an upcoming intelligence authorization bill that would have created a special committee to combat Russian efforts to exert covert influence abroad. Schiff, who backs creation of the bipartisan committee, said on Tuesday the United States needed to do more to stop such hacking. “Unless we establish some kind of deterrent, this is going to be unending,” he said. An Intelligence Committee aide said the panel had changed the provision independent of Clapper’s letter and felt it had “appropriately addressed” intelligence community concerns. In 2016, the hacking benefited Trump, Schiff said. He added, however, that Russian hackers could turn on Trump once he is president if they do not approve of his policies.  The Obama administration publicly blamed North Korea for the malicious breaches that crippled Sony in 2014. ",politicsNews,"December 6, 2016 "
19626,Nigerian air force deploys aircraft to restive southeast,"LAGOS (Reuters) - Nigeria s air force on Tuesday said it was deploying aircraft to the southeast of the country where unrest related to a campaign for secession has escalated in an area formerly known as Biafra. The military presence in the southeast has increased in the last few weeks as part of an operation that the military said was part of efforts to crack down on crime, kidnapping and secessionist agitation. The air force deployment marks a further escalation of the operation, which began this month.  The essence of the deployment is to provide the necessary air cover to the ground troops to enhance overall operational cohesion and efficiency,  said Olatokunbo Adesanya, a Nigerian Air Force (NAF) spokesman.  The request by the Nigerian Army for close air support made the involvement of the NAF inevitable,  he added. The military deployment has led to tension between troops and the Indigenous People of Biafra (IPOB) secessionist group which last week accused soldiers of laying siege to their leader s home. The army denied the accusation.  A curfew was subsequently imposed in Abia state, where the residence is located, and the army on Friday categorized IPOB as a  terrorist organization . Secessionist sentiment has simmered in the southeast since the Biafra separatist rebellion plunged Africa s most populous country into a civil war from 1967 to 1970 that killed around one million people. ",worldnews,"September 19, 2017 "
21315,U.S. journalist among 19 killed in South Sudan fighting: rebels,"NAIROBI (Reuters) - A United States citizen working in South Sudan as a freelance journalist was among 19 people killed on Saturday during fighting between government troops and  rebels in Yei River state, the rebels and the military said. Christopher Allen, who worked for various news outlets, was killed in heavy fighting in the town of Kaya. South Sudan has been convulsed by conflict since late 2013, pitting President Salva Kiir s troops against those of rebel leader Riek Machar.  On the ground, about 16 (bodies) have been found around the defensive position of the SPLA including this white man,  Santo Domic Chol, a military spokesman, told Reuters. Three government soldiers were also killed, he said. The rebels identified him as Allen, who had been embedded with them for the past week.   We are sad for his family. He came here to tell our story ,  said one rebel who knew Allen. He asked not to be named but said Allen had been in the middle of the fighting and wearing a jacket marked PRESS. Chol said  the rebels had attacked an army base in Kaya but they were repulsed after an hour-long fight. The U.S. government did not respond immediately when Reuters sought comment.  The country spiraled into civil war, with fighting along ethnic lines, after Kiir sacked Machar in late 2013. A peace accord was signed in August 2015 and Machar returned to the capital in April last year to share power with Kiir, before the deal fell apart less than three months later and Machar and his supporters fled the capital. The conflict has forced about 4 million people to flee their homes. Uganda currently hosts more than a million South Sudanese refugees, while over 330,000 have fled to neighboring Ethiopia. ",worldnews,"August 26, 2017 "
9752,Tennessee law to allow counselors to deny service based on beliefs," (This version of the April 27 story, corrects paragraph 10 to read North Carolina, not South Carolina) By Alex Dobuzinskis (Reuters) - Tennessee’s Republican governor on Wednesday signed a law allowing mental health counselors to refuse service to patients on “sincerely held principles,” the latest in a string of U.S. state measures criticized as discriminatory against the gay community. Governor Bill Haslam signed the bill into law three weeks after it was approved by the legislature. It goes into effect immediately. “The substance of this bill doesn’t address a group, issue or belief system,” Haslam said in a statement.  “Rather, it allows counselors – just as we allow other professionals like doctors and lawyers – to refer a client to another counselor when the goals or behaviors would violate a sincerely held principle.” An earlier version of the bill had allowed counselors to refuse service to patients on religious grounds, but it was amended to remove any direct reference to religion.  The law protects therapists and counselors from legal action when they cite their personal principles in refusing service, despite a provision in the American Counseling Association’s code of ethics barring members from such denials of service.  “This measure is rooted in the dangerous misconception that religion can be used as a free pass to discriminate,” Hedy Weinberg, executive director of the American Civil Liberties Union of Tennessee, said in a statement. Weinberg called the bill one in a series of “attacks” on the lesbian, gay, bisexual and transgender community following last year’s ruling by the U.S. Supreme Court striking down state bans on gay marriage. Haslam had previously told Nashville Public Radio he was considering the effect the legislation may have on Tennessee and its citizens, as laws criticized as discriminatory against the LGBT community has drawn increased scrutiny in several states. In North Carolina, a number of companies including PayPal Holdings and Deutsche Bank have canceled plans to add jobs in the state after it passed a law requiring people to use bathrooms or locker rooms in schools and other public facilities that match the gender on their birth certificate rather than their gender identity. Haslam said he decided to sign the counseling bill in part because it forbids denial of service to patients in danger of harming themselves or others. Earlier this month, Haslam disappointed some Christians in the state when he vetoed legislation that would have made the Bible Tennessee’s official book. The governor said that violated the U.S. Constitution. ",politicsNews,"April 27, 2016 "
1001,U.S. veterans to Trump: Save bank customers' rights to sue,"WASHINGTON (Reuters) - The largest U.S. veterans service organization on Thursday urged President Donald Trump to veto recent legislation allowing financial companies to block customers from banding together to sue, saying it would hurt members of the armed forces. The American Legion, which rarely speaks out on bank policy or politics, said in a statement it would “not be silent while banks and payday loan shops rip off servicemembers and veterans”. But it will likely have a hard time convincing Trump to veto the resolution to roll back the Obama-era policy.  The Consumer Financial Protection Bureau, an independent federal regulator, finalized a rule this summer that barred banks, credit card issuers and other financial companies from requiring customers to agree not to join group lawsuits and only take any potential disputes to closed-door arbitration.  In a vote of 51 to 50, the Senate on Tuesday passed a resolution killing the rule and prohibiting regulators from enacting a similar one in the future. The House of Representatives approved the resolution earlier, and now all that is needed to erase the rule is for Trump to sign it into law. “Our membership has stated unequivocally that we are opposed to situations where our military and veterans’ financial protections are chipped away to increase the profits of the big banks,” said American Legion National Commander Denise Rohan. “Repealing the CFPB arbitration rule takes away consumers’ most effective tool to protect themselves against predatory lenders.” Servicemembers can struggle to sue companies individually because they cannot afford legal costs, move frequently for work, or are deployed overseas, the Legion said. In class actions, individuals with the same complaint band together to lower lawsuit costs. Many veteran organizations tried for months to stop the Republican-led Congress from passing the resolution, and other advocacy groups have also pressed for a veto. That is a long-shot. The White House issued a statement shortly after Tuesday’s vote applauding the resolution, saying the CFPB rule would have given consumers “fewer options for quickly and efficiently resolving financial disputes” and opened “the door to frivolous lawsuits by special interest trial lawyers.” The rule’s supporters say arbitration is rigged against consumers because it is secretive, does not set legal precedent,  and is controlled by the companies. They also say the right to sue is enshrined in the U.S. Constitution. ",politicsNews,"October 26, 2017 "
12728,"Head of Zimbabwe election commission quits, source says","HARARE (Reuters) - Zimbabwe Electoral Commission (ZEC) chairwoman Rita Makarau resigned on Friday, months before a vote whose credibility is crucial to the new army-backed government s efforts to re-engage international lenders and lure investors, a senior government source said. Makarau, seen as an ally of 93-year-old former president Robert Mugabe, gave no reason for her resignation, the official, who declined to be named, said. President Emmerson Mnangagwa, who was sworn in two weeks ago in the wake of the de facto military coup that ended Mugabe s 37-year rule, pledged to hold elections as scheduled next year. Finance Minister Patrick Chinamasa mentioned the credibility of the elections at least five times in a budget speech on Thursday, a sign of the vote s importance in shoring up Harare s democratic legitimacy. Opposition parties have demanded reforms to an electoral system they say is skewed in the ruling ZANU-PF party s favor. Makarau, who has been accused of being partisan, was overseeing an overhaul of the voters  roll, which the opposition Movement for Democratic Change has described as  shambolic . Makarau did not answer her mobile phone. A spokesman for the ZEC was unable to confirm Makarau s departure. ",worldnews,"December 8, 2017 "
707,"Instant View: Senate plan delays corporate tax cut, won't repeal Obamacare mandate","(Reuters) - U.S. Senate Republicans’ version of a tax cut bill will delay corporate rate cuts by one year to take effect in 2019, and will not include a repeal of Obamacare’s individual mandate, Republican Senate Finance Committee member Bill Cassidy said.  Story: [L1N1NF1MP] GARY BRADSHAW, PORTFOLIO MANAGER OF HODGES CAPITAL MANAGEMENT IN DALLAS “I do think the market would like to see this tax cut and if it’s delayed, certainly it is going to have a big effect on small caps, they are probably off the most.” “I think the market is anticipating that we get this tax cut through, that it would really drive earnings. You look at S&P earnings next year projected to be about $145, you get a tax cut it would probably be (a little above $150). If we don’t have that, earnings are going to be tempered some. Obviously a little of the tax cut has been in the market already and if it’s delayed some of that good news is coming out.” MICHAEL O’ROURKE, CHIEF MARKET STRATEGIST, JONESTRADING, GREENWICH, CONNECTICUT: “That was the catalyst for the recent leg down,” he said, referring to the headlines that the Senate tax proposal will delay the corp tax rate cut to 2019.  “Making sure we don’t drive the deficit too much higher is going to be key here. That makes sense why they would push the corporate tax cut back. But at the same time, we’re not getting to the point where we have a plan that seems workable yet. “The market is due for a breather. It’s been a year since the election. We’ve gone up 22 percent on hopes of what the Trump agenda would bring, and while they’re trying to work toward this thing, they haven’t really accomplished much yet. If progress is not made, the equity market should either pause or correct until meaningful progress is made.” RICK MECKLER, PRESIDENT OF INVESTMENT FIRM LIBERTYVIEW CAPITAL MANAGEMENT IN JERSEY CITY, NEW JERSEY “Investors view the corporate tax cut as central to higher near-term stock prices. Once you delay it, the more time that goes on the more further changes can happen. This has been a bit of an emotional roller coaster for investors. “You’re starting to see some divergence between House, Senate and White House, all three of which are controlled by Republicans. That suggests that whatever is agreed to will probably look quite a bit different if its signed into law. “The sell off is a quick reaction to how much uncertainty is ahead when it comes to significant corporate tax change.” JOE SALUZZI, CO-MANAGER OF TRADING AT THEMIS TRADING IN CHATHAM, NEW JERSEY  “Nervous Nellies are going to read the headlines, I have the feeling we are going to be headline driven until they finish this thing off, whenever that may be. If it is a market that has been based on tax cuts, or a good chunk of the rally has been, you would expect it to pullback if there is a potential breakup in the talks or a delay. It looks like this last leg was based on a delay of potentially a year on the Senate side. So totally expected you would see that. But I would also expect it to rip right back if all of a sudden they come out and say they are making progress.  “Other than that there is really nothing fundamentally changed. Nothing new today, economic numbers - nothing was really out of line. It is certainly tax driven. If there is a decent headline that comes out by the end of the day we will rally right back. Maybe people are not nervous, they shouldn’t be, but I hope there is no complacency in the market, I am always worried about that. But I don’t see this as a big deal yet.”  SUBADRA RAJAPPA, HEAD OF U.S. STRATEGY, SG CORPORATE & INVESTMENT BANKING, NEW YORK “In the bond market, we reacted initially to the selloff in Europe. Now we are giving some of it back because of the concerns about the implementation of the tax plan. The difference between House and Senate plans have be reconciled. They have to make the math work with the agreed upon $1.5 trillion projected addition to the deficit. They feel the better start for the corporate tax cut is 2019. We saw some pressure on the high yield spreads the past few sessions with evaluations being frothy. This combined with the tax plan have put some downward pressure on yields. The news on the tax front hasn’t been very positive. The devils are always in the details. There’s a bit more worry about which of the proposals will get though and how. I personally think they would have trouble to get through reconciliation in such short order.” PARESH UPADHYAYA, DIRECTOR OF CURRENCY STRATEGY AT AMUNDI PIONEER INVESTMENT MANAGEMENT, BOSTON “I think the markets are getting a bit jittery over details of the plan as it looks like it is going to be pushed off another year. The initial reaction is disappointment over the Senate plan. Of course that’s not going to be the final plan, but the initial reaction is certainly negative for the dollar. “The momentum of the dollar has been hit on concerns about the tax plan, that this could take longer than people had expected. That’s why the dollar momentum seems to have stalled.” STOCKS: U.S. stocks extended losses in mid-day trading. The Dow Jones Industrial Average .DJI fell 227.01 points, or 0.96 percent, to 23,336.35, the S&P 500 .SPX lost 25.34 points, or 0.98 percent, to 2,569.04 and the Nasdaq Composite .IXIC dropped 94.96 points, or 1.4 percent, to 6,694.16. BONDS: Benchmark 10-year notes US10YT=RR last fell 2/32 in price to yield 2.3239 percent, from 2.317 percent late on Wednesday. The 30-year bond US30YT=RR last fell 14/32 in price to yield 2.8051 percent, from 2.784 percent late on Wednesday. FOREX: The dollar index .DXY fell 0.45 percent, with the euro EUR= up 0.48 percent to $1.1649.",politicsNews,"November 9, 2017 "
